name,photo_file,photo_url,place_id
Centraal,prag_venue_photos/centraal.jpg,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepv8ZLxkoM7HpRb5f1pnGVOopSI4o-ByF61A3cBzej-QjMbANHW-566GeIF9lytodHvG_Tp4rxRWnVQOpeZIsGNHe3-kOljT-gnf2fK9zOdnMc6rdPlVLh3r8GR6b4Jr_f5IYvz=s1600-w800,ChIJZxKvcACVC0cR-NpLUTo9dks
MIRU,prag_venue_photos/miru.jpg,https://lh3.googleusercontent.com/places/ANXAkqEoAG45GruHaUq3QOxuOrLAhixj7ZaWX0c69vBFDNXed8veVxlyaEm0BMepHONKg_49PzzbLNVh5-Zt4QjTgPpZka_r0cRph-A=s1600-w800,ChIJs6Eov_iVC0cR2GglHDkJ8kw
U Bansethů,prag_venue_photos/u_bansethů.jpg,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer4I0adWF6AvQ9KozTcer3OcYmsbs5i35mYfKbSmqKO7gJ-vX-T96mC7VkjmX96k9MGaVbGtC5K4vO8xExWdK8fd-8Ji187ZYXyVQun6fWeIiao4bOKlyuyetiPTeCVS6rJ2JOI=s1600-w800,ChIJ1QmmVHmUC0cR8xfp1pW7S7s
Pivovar Bašta,prag_venue_photos/pivovar_bašta.jpg,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqg-cG6UV9Np6P1MvzWfFoY1_SkxzL-cN9Xi3_rYtJnbzKxwDfRWlgkDfPSiHQva3vk-QLRivRcE64uXXWLZAlDJKUoEXr2YxXhraK1XCxow-WX4Qb8FKqxVZQArppBXBYhIOJSoiGJ6lNg=s1600-w800,ChIJyfOirH6UC0cRLwXLV721lxE
Automat Matuška,prag_venue_photos/automat_matuška.jpg,https://lh3.googleusercontent.com/places/ANXAkqEUCJwNwSHnFWE3UYclRlXV0DaIfRmnqOqtzodFt1M4Mo1HTPCI_v0wtkmDDPw1GvoV290fsLs892CNblJTEX9y59ALkCs-Kvs=s1600-w800,ChIJe2hcj4qVC0cRo2ZDviQOyYQ
Sibeeria Tap Room,prag_venue_photos/sibeeria_tap_room.jpg,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerH9j2gX_oo0A15Z5VIwSWTLGht6R3He6gfMj_lBDGs79y3Qx76LRo7ObBsHq14kWfJSEFnwlIxxyJbATW1z-a9RhhRLOabmXVQv6hcukwb2zYhztkNh7vT5cHEzgHY1kmbMqA4JOmeT4MN=s1600-w800,ChIJoeJoOgCVC0cROU-x-DpFMMg
Nota Bene,,,
Pult,prag_venue_photos/pult.jpg,https://lh3.googleusercontent.com/places/ANXAkqGjEAkBmvkGIUiOsyEp9bu6evtecgEldR0Wc2E_XbrUSoz5OjtxKrE5Um4h0rE6rvfI3S_mm8umKH_aYdGWGS_Zrbv1KQLKqRM=s1600-w800,ChIJGQJYosCVC0cRtxtnp0jVlkk
Sedmej Schod,prag_venue_photos/sedmej_schod.jpg,https://lh3.googleusercontent.com/places/ANXAkqF1cZ8tALt6uC2b2X718NJyW5zu8v5kSXvCAFNar7VgUthXqzSVlZ2wKPtzEtqPLup8VkhYUtmwVjeyT6vAOEE4QGeCxACHvAg=s1600-w800,ChIJJcTSzx2VC0cR409IUZ7SK7U
Kulový Blesk,prag_venue_photos/kulový_blesk.jpg,https://lh3.googleusercontent.com/places/ANXAkqHFqrzjvR7hfRC2XrYyWc3mfcTfHzRkH57LeCX4AkTcP4Oubc4puu1PhvicvlxsuhU4r8KxeZzIH-NNMw71A5VK5fIxqasMXjE=s1600-w800,ChIJKTJ66YuUC0cRMB1FMIwoFdQ
The Tavern,prag_venue_photos/the_tavern.jpg,https://lh3.googleusercontent.com/places/ANXAkqHLzpFQ5RsRwxeoadPimsVLXnN66xdDdVuJ4EsTAAZUv5Z0-pMPcoLQ3QkDbjXpU2tXhEt9WY0AKB2xM7jLBp8AX8D6tTGF1G8=s1600-w800,ChIJIahrW5qUC0cRV6_XCwk_kwU
Pivovar Národní,prag_venue_photos/pivovar_národní.jpg,https://lh3.googleusercontent.com/places/ANXAkqFvXSUOwakc4ZMv7mtleCemYRkObFj7dEhR3IQfS2b7LF31pMg8-SmVETc_6GGxjnLstBmYHtE99ipsB0SSJTiI1G7E1QedyMs=s1600-w800,ChIJbVNRKfCUC0cRSRm72wi4ooM
Etapa,prag_venue_photos/etapa.jpg,https://lh3.googleusercontent.com/gps-cs-s/AHVAweovRWNaZYOta4eeEfoZvZrGDmHsmCzqe6kgS15BmuEWEAgnSmIQz3XrVcv2bHobLk-SGHXkAR7H17Z8v595bmNpptcTzSgFnAh2eo96oyYOb0_2XDHeJe19xkYSt0xGsPTZ8DHs=s1600-w800,ChIJpauOto2VC0cRT42rSr1l5JQ
Le Caveau Kavárna,prag_venue_photos/le_caveau_kavárna.jpg,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoKfQD95SgXTKEqYvMjz7xodA1Vsq56_vhGu5_RoFZACSA5EI6bpfd3mj8mSlNSorLxT8AhaYFYeT3wdAxsmsw-rqgnVUBQbx4HCjRfPDKe3Yl_n-swiE0gUuXPLMNd0WmpjYa5=s1600-w800,ChIJ74Ua6pyUC0cRhDeTlGgLHtc
The Flat Café,prag_venue_photos/the_flat_café.jpg,https://lh3.googleusercontent.com/places/ANXAkqE-wWhlnwKChwPAQydUHS_A6h9ezLKvD9lY4BdFdWZEiscGo7_1egYmSVcWNoX1hTlXWhWaXSTmycR8DPsWoiiI904zd-783yc=s1600-w800,ChIJH6_cK9aTC0cR06_ExDBgCfY
